Province/State,Country/Region,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20
Ciudad de Buenos Aires,Argentina,1,0,1,4,1,3,0,1,2,2,2,6,6,5,4,10,8,9,29,12,11,30,21,30,43,18,13,34,19,10,24,28,34,32,17,24
Provincia de Buenos Aires,Argentina,0,0,0,1,0,0,1,1,0,5,1,2,1,1,1,6,15,9,15,8,5,30,30,27,36,8,16,36,17,10,36,22,26,33,12,34
Provincia de Chaco,Argentina,0,0,0,0,0,0,2,0,0,1,0,2,2,3,1,1,2,1,5,7,4,9,12,3,3,5,4,12,3,12,3,8,8,0,4,4
Provincia de Cordoba,Argentina,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,1,3,5,4,8,3,7,15,3,5,0,18,8,14,6,16,14,3,5,7,4
Provincia de Tierra del Fuego,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,3,0,0,4,1,3,0,4,4,11,7,0,24,1,8,3,2,2
Provincia de Río Negro,Argentina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,5,2,2,2
Provincia de San Luis,Argentina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,2,1,0,0,1,0
Provincia de Santa Fe,Argentina,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,13,3,22,12,9,13,13,21,22,11,8,8,5,11,8,3
Provincia de Salta,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Provincia de Entre Rios,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,3,0,0,3,0,1,2,2,0,1,0,1
Provincia de Santa Cruz,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,2,0,0,0,0,0,10,2,0,1,1,0,8
Provincia de Jujuy,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
Provincia de Tucuman,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,2,0,6,0,0,0,1,1,4,0,1,0,5,1
Provincia de Corrientes,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,4,1,10,1,1,1,0,0,0,2,0
Provincia de Neuquen,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,3,4,2,0,8,0,4,4,1,4,11,6,3
Provincia de Santiago del Estero,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,6,-1
Provincia de Mendoza,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,1,1,3,2,10,0,2,0,2,1,2
Pronvicia de Misiones,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Provincia de La Pampa,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Provincia de La Rioja,Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,1,0
All,Argentina,1,0,1,6,1,3,5,2,2,10,3,11,11,9,13,19,31,30,67,41,36,86,117,87,117,55,73,146,88,79,132,88,98,103,74,87
